date,open,high,low,close,volume
2008-01-31,3.4372,3.934,3.4337,3.8757,857718000
2008-02-01,3.9415,3.9605,3.6597,3.7225,327220000
2008-02-04,3.716,3.8238,3.6861,3.6886,183104000
2008-02-05,3.6313,3.7016,3.5914,3.5958,192678000
2008-02-06,3.6063,3.6128,3.4003,3.4163,247990000
2008-02-07,3.3604,3.6268,3.3529,3.537,290034000
2008-02-08,3.6612,3.721,3.6173,3.6662,234008000
2008-02-11,3.6482,3.7889,3.6298,3.7505,155274000
2008-02-12,3.7624,3.8432,3.6806,3.7136,188980000
2008-02-13,3.74,3.933,3.6547,3.8772,221406000
2008-02-14,3.8772,3.8846,3.75,3.7809,149944000
2008-02-15,3.741,3.7505,3.5884,3.6392,222402000
2008-02-19,3.6682,3.6911,3.5689,3.5953,142184000
2008-02-20,3.5864,3.6851,3.5465,3.6732,129014000
2008-02-21,3.6881,3.7016,3.4602,3.4866,263016000
2008-02-22,3.5185,3.6018,3.4846,3.5953,246854000
2008-02-25,3.6088,3.6662,3.5619,3.6547,157164000
2008-02-26,3.5869,3.6662,3.5056,3.5759,197826000
2008-02-27,3.5255,3.5654,3.4701,3.535,178610000
2008-02-28,3.5066,3.5215,3.3474,3.3843,263356000
2008-02-29,3.3325,3.3669,3.1908,3.2158,233292000
2008-03-03,3.1719,3.2168,3.0526,3.114,274422000
2008-03-04,3.0761,3.322,3.0541,3.2592,334072000
2008-03-05,3.2751,3.309,3.1833,3.2417,222528000
2008-03-06,3.2297,3.2651,3.1175,3.1295,166866000
2008-03-07,3.1025,3.2357,3.0931,3.1968,208762000
2008-03-10,3.1873,3.2497,3.1379,3.1659,186420000
2008-03-11,3.2896,3.3504,3.1778,3.3494,194858000
2008-03-12,3.3305,3.4033,3.2741,3.3175,154976000
2008-03-13,3.2477,3.4691,3.2106,3.4078,214150000
2008-03-14,3.4223,3.5255,3.2951,3.4028,248414000
2008-03-17,3.2781,3.3814,3.2382,3.3185,194182000
2008-03-18,3.4043,3.5878,3.3714,3.5764,191014000
